postcode,point_coordinates,street,city,state,lat,long
1000,POINT(6.4312 100.2056),Alor Redeh,Kangar,Perlis,6.4312,100.2056
10000,POINT(5.4166 100.3305),Bangunan Komtar,Pulau Pinang,Penang,5.4166,100.3305
10050,POINT(5.4195 100.3278),Jalan Argyll,Pulau Pinang,Penang,5.4195,100.3278
1007,POINT(6.4455 100.2002),Kangar - Peti surat,Kangar,Perlis,6.4455,100.2002
1009,POINT(6.4455 100.2002),Kangar - Beg berkunci,Kangar,Perlis,6.4455,100.2002
10100,POINT(5.4166 100.3326),Halaman Khoo Cheow Teong,Pulau Pinang,Penang,5.4166,100.3326
10150,POINT(5.4067 100.3259),Flat Baharol Alam,Pulau Pinang,Penang,5.4067,100.3259
10200,POINT(5.4208 100.3361),Bangunan Bank Negara Biro Bantuan Guaman,Pulau Pinang,Penang,5.4208,100.3361
10250,POINT(5.4265 100.3205),Acardia Apartment,Pulau Pinang,Penang,5.4265,100.3205
10300,POINT(5.4111 100.3334),Adorna Gold,Pulau Pinang,Penang,5.4111,100.3334
10350,POINT(5.4309 100.3138),Halaman Burma,Pulau Pinang,Penang,5.4309,100.3138
10400,POINT(5.4172 100.3233),Halaman Ariffin,Pulau Pinang,Penang,5.4172,100.3233
10450,POINT(5.4182 100.3068),Halaman Macalister,Pulau Pinang,Penang,5.4182,100.3068
10460,POINT(5.4119 100.3142),Jalan Abdullah Munshi,Pulau Pinang,Penang,5.4119,100.3142
10470,POINT(5.4289 100.3104),Changkat Halia Satu,Pulau Pinang,Penang,5.4289,100.3104
10500,POINT(5.4179 100.3296),TYT Yang Di Pertua Negeri Pulau Pinang,Pulau Pinang,Penang,5.4179,100.3296
10502,POINT(5.4179 100.3296),YAB Ketua Menteri Pulau Pinang,Pulau Pinang,Penang,5.4179,100.3296
10503,POINT(5.4179 100.3296),Setiasusaha Kerajaan Negeri,Pulau Pinang,Penang,5.4179,100.3296
10504,POINT(5.4179 100.3296),Biro Bantuan Guaman,Pulau Pinang,Penang,5.4179,100.3296
10505,POINT(5.4179 100.3296),Biro Pengaduan Awam,Pulau Pinang,Penang,5.4179,100.3296
10506,POINT(5.4179 100.3296),Mahkamah Tinggi,Pulau Pinang,Penang,5.4179,100.3296
10508,POINT(5.4179 100.3296),Amanah Raya Berhad,Pulau Pinang,Penang,5.4179,100.3296
10512,POINT(5.4179 100.3296),Penasihat Undang-Undang Negeri,Pulau Pinang,Penang,5.4179,100.3296
10514,POINT(5.4179 100.3296),Jabatan Perangkaan,Pulau Pinang,Penang,5.4179,100.3296
10516,POINT(5.4179 100.3296),Jabatan Pemegang Harta,Pulau Pinang,Penang,5.4179,100.3296
10518,POINT(5.4179 100.3296),Jabatan Audit Negeri,Pulau Pinang,Penang,5.4179,100.3296
10524,POINT(5.4179 100.3296),Setiausaha Keselamatan Negeri,Pulau Pinang,Penang,5.4179,100.3296
10534,POINT(5.4179 100.3296),Jabatan Kilang & Jentera,Pulau Pinang,Penang,5.4179,100.3296
10538,POINT(5.4179 100.3296),Jabatan Keselamatan Sosial (Perkeso),Pulau Pinang,Penang,5.4179,100.3296
10540,POINT(5.4179 100.3296),Jabatan Tenaga Rakyat,Pulau Pinang,Penang,5.4179,100.3296
10542,POINT(5.4179 100.3296),Pendaftar Kesatuan Sekerja,Pulau Pinang,Penang,5.4179,100.3296
10546,POINT(5.4179 100.3296),Pejabat Rela Negeri,Pulau Pinang,Penang,5.4179,100.3296
10550,POINT(5.3986 100.4077),Jabatan Imigresen,Pulau Pinang,Penang,5.3986,100.4077
10551,POINT(5.4179 100.3296),Jabatan Pendaftaran Negara,Pulau Pinang,Penang,5.4179,100.3296
10552,POINT(5.4179 100.3296),Jabatan Pendaftar Pertubuhan,Pulau Pinang,Penang,5.4179,100.3296
10558,POINT(5.4179 100.3296),Jabatan Penjara,Pulau Pinang,Penang,5.4179,100.3296
10560,POINT(5.4179 100.3296),Ketua Polis Negeri,Pulau Pinang,Penang,5.4179,100.3296
10564,POINT(5.4179 100.3296),Jabatan Kebajikan Masyarakat,Pulau Pinang,Penang,5.4179,100.3296
10566,POINT(5.4179 100.3296),Muzium & Balai Seni Lukis,Pulau Pinang,Penang,5.4179,100.3296
10570,POINT(5.4179 100.3296),Jabatan Belia & Sukan,Pulau Pinang,Penang,5.4179,100.3296
10576,POINT(5.4179 100.3296),Jabatan Tanah & Galian,Pulau Pinang,Penang,5.4179,100.3296
10578,POINT(5.4179 100.3296),Jabatan Ukur & Pemetaan,Pulau Pinang,Penang,5.4179,100.3296
10582,POINT(5.4614 100.2192),Jabatan Kerja Raya,Pulau Pinang,Penang,5.4614,100.2192
10590,POINT(5.4179 100.3296),Jabatan Kesihatan,Pulau Pinang,Penang,5.4179,100.3296
10592,POINT(5.4179 100.3296),Jabatan Penilaian Harta,Pulau Pinang,Penang,5.4179,100.3296
10593,POINT(5.4179 100.3296),Jabatan Penilaian Harta,Pulau Pinang,Penang,5.4179,100.3296
10594,POINT(5.4179 100.3296),Akauntan Negeri,Pulau Pinang,Penang,5.4179,100.3296
10596,POINT(5.4179 100.3296),Jabatan Kastam & Eksais Di Raja,Pulau Pinang,Penang,5.4179,100.3296
10600,POINT(5.3677 100.4346),Lembaga Hasil Dalam Negeri,Pulau Pinang,Penang,5.3677,100.4346
